query_id,lang,query,relevant,baseline_top1,improved_top1,manual_category,improved_error
Q04-M05,en,How can I track my complaint? quickly,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M06,en,How can I track my complaint? urgently,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M07,en,How can I track my complaint? via mobile,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M08,en,How can I track my complaint? in the app,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M09,en,How can I track my complaint? online,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M10,en,How can I track my complaint? through the portal,D04,D14,D04,cross_language_intent_specificity_gap,False
Q04-M11,en,How can I track my complaint? can you help,D04,D03,D04,modifier_noise_ranking_instability,False
Q04-M12,en,How can I track my complaint? right now,D04,D14,D04,cross_language_intent_specificity_gap,False
Q05-M01,ar,كيف اعيد تعيين كلمة المرور؟ فضلا,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M02,ar,كيف اعيد تعيين كلمة المرور؟ لو سمحت,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M03,ar,كيف اعيد تعيين كلمة المرور؟ من فضلك,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M04,ar,كيف اعيد تعيين كلمة المرور؟ الان,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M05,ar,كيف اعيد تعيين كلمة المرور؟ اليوم,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M06,ar,كيف اعيد تعيين كلمة المرور؟ بسرعة,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M07,ar,كيف اعيد تعيين كلمة المرور؟ للضرورة,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M08,ar,كيف اعيد تعيين كلمة المرور؟ عبر الجوال,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M09,ar,كيف اعيد تعيين كلمة المرور؟ من التطبيق,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M10,ar,كيف اعيد تعيين كلمة المرور؟ الكترونيا,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M11,ar,كيف اعيد تعيين كلمة المرور؟ ممكن تساعدني,D05,D15,D05,cross_language_intent_specificity_gap,False
Q05-M12,ar,كيف اعيد تعيين كلمة المرور؟ وشكرا,D05,D15,D05,cross_language_intent_specificity_gap,False
Q06-M01,en,How can I pay the invoice? please,D06,D16,D06,cross_language_intent_specificity_gap,False
Q06-M02,en,How can I pay the invoice? today,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M03,en,How can I pay the invoice? now,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M04,en,How can I pay the invoice? for me,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M05,en,How can I pay the invoice? quickly,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M06,en,How can I pay the invoice? urgently,D06,D16,D06,cross_language_intent_specificity_gap,False
Q06-M07,en,How can I pay the invoice? via mobile,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M08,en,How can I pay the invoice? in the app,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M09,en,How can I pay the invoice? online,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M10,en,How can I pay the invoice? through the portal,D06,D16,D06,cross_language_intent_specificity_gap,False
Q06-M11,en,How can I pay the invoice? can you help,D06,D08,D06,hash_collision_candidate_ordering,False
Q06-M12,en,How can I pay the invoice? right now,D06,D08,D06,hash_collision_candidate_ordering,False
Q07-M01,ar,كيف يمكن تحميل الشهادة؟ فضلا,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M02,ar,كيف يمكن تحميل الشهادة؟ لو سمحت,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M03,ar,كيف يمكن تحميل الشهادة؟ من فضلك,D07,D02,D07,modifier_noise_ranking_instability,False
Q07-M04,ar,كيف يمكن تحميل الشهادة؟ الان,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M05,ar,كيف يمكن تحميل الشهادة؟ اليوم,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M06,ar,كيف يمكن تحميل الشهادة؟ بسرعة,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M07,ar,كيف يمكن تحميل الشهادة؟ للضرورة,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M08,ar,كيف يمكن تحميل الشهادة؟ عبر الجوال,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M09,ar,كيف يمكن تحميل الشهادة؟ من التطبيق,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M10,ar,كيف يمكن تحميل الشهادة؟ الكترونيا,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M11,ar,كيف يمكن تحميل الشهادة؟ ممكن تساعدني,D07,D17,D07,cross_language_intent_specificity_gap,False
Q07-M12,ar,كيف يمكن تحميل الشهادة؟ وشكرا,D07,D17,D07,cross_language_intent_specificity_gap,False
Q08-M11,en,How can I update my address? can you help,D08,D03,D08,hash_collision_candidate_ordering,False
Q09-M01,ar,كيف اقدم طلب المنحة؟ فضلا,D09,D19,D09,cross_language_intent_specificity_gap,False
Q09-M02,ar,كيف اقدم طلب المنحة؟ لو سمحت,D09,D19,D09,cross_language_intent_specificity_gap,False
Q09-M03,ar,كيف اقدم طلب المنحة؟ من فضلك,D09,D14,D09,modifier_noise_ranking_instability,False
Q09-M04,ar,كيف اقدم طلب المنحة؟ الان,D09,D04,D09,modifier_noise_ranking_instability,False
Q09-M05,ar,كيف اقدم طلب المنحة؟ اليوم,D09,D15,D09,modifier_noise_ranking_instability,False
Q09-M06,ar,كيف اقدم طلب المنحة؟ بسرعة,D09,D19,D09,cross_language_intent_specificity_gap,False
Q09-M07,ar,كيف اقدم طلب المنحة؟ للضرورة,D09,D15,D09,modifier_noise_ranking_instability,False
Q09-M08,ar,كيف اقدم طلب المنحة؟ عبر الجوال,D09,D19,D09,cross_language_intent_specificity_gap,False
Q09-M09,ar,كيف اقدم طلب المنحة؟ من التطبيق,D09,D19,D09,cross_language_intent_specificity_gap,False
Q09-M10,ar,كيف اقدم طلب المنحة؟ الكترونيا,D09,D19,D09,cross_language_intent_specificity_gap,False
Q09-M11,ar,كيف اقدم طلب المنحة؟ ممكن تساعدني,D09,D19,D09,cross_language_intent_specificity_gap,False
Q09-M12,ar,كيف اقدم طلب المنحة؟ وشكرا,D09,D19,D09,cross_language_intent_specificity_gap,False
Q10-M01,en,How do I register for the course? please,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M02,en,How do I register for the course? today,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M03,en,How do I register for the course? now,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M04,en,How do I register for the course? for me,D10,D05,D05,hash_collision_candidate_ordering,True
Q10-M05,en,How do I register for the course? quickly,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M07,en,How do I register for the course? via mobile,D10,D05,D05,hash_collision_candidate_ordering,True
Q10-M08,en,How do I register for the course? in the app,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M09,en,How do I register for the course? online,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M10,en,How do I register for the course? through the portal,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M11,en,How do I register for the course? can you help,D10,D05,D10,hash_collision_candidate_ordering,False
Q10-M12,en,How do I register for the course? right now,D10,D05,D10,hash_collision_candidate_ordering,False
